#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
8900000          -3.31410767e+00  1.55152975e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.86563742e+00 -4.49598057e+00  4.95063598e+01 -6.33757301e-28 -9.39225690e-28  5.70500000e-02  6.32091754e-02
9000000          -1.61888305e+01  2.34502008e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.85338506e+01 -1.73546410e+01  6.15832660e+01 -8.44167638e-05  1.50943854e-05  7.17900000e-02  7.95405207e-02
9100000          -2.53514879e+00  4.58752469e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.99390126e+00 -2.49580682e+00  5.17558848e+01 -8.44167638e-05  1.50942344e+00  5.97700000e-02  6.62228294e-02
9200000          -2.00966011e+00  2.90581870e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.30024198e+00 -1.85063317e+00  5.23988610e+01 -3.40585662e-28 -9.67425885e-28  6.04500000e-02  6.69762429e-02
9300000          -5.16929998e+00  1.19750789e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.36680786e+00 -5.39725203e+00  5.42219066e+01 -3.43904847e-29 -9.74871624e-28  6.31300000e-02  6.99455784e-02
9400000          -4.26225078e+00  1.19224055e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.45449133e+00 -4.54135229e+00  5.35614376e+01 -3.88192344e-28 -9.87517650e-28  6.23100000e-02  6.90370503e-02
9500000          -1.07790638e+01  3.14302179e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.39220856e+01 -1.29298737e+01  5.95146962e+01 -9.89720619e-29 -9.91414576e-28  6.92100000e-02  7.66819813e-02
9600000          -2.88172142e+00  4.59295744e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.34101716e+00 -2.93277017e+00  5.29647734e+01 -4.55072726e-28 -1.00720626e-27  6.10500000e-02  6.76410195e-02
9700000          -4.01559258e+00  7.01313267e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.71690584e+00 -4.02270017e+00  5.43224065e+01 -2.40147581e-29 -1.01970447e-27  6.29300000e-02  6.97239862e-02
9800000          -5.11701841e+00  3.54742840e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.47176125e+00 -4.89941753e+00  5.23460662e+01 -1.51711222e-28 -1.03421443e-27  6.05300000e-02  6.70648797e-02
